	2
163.221.144.27	1046
163.221.144.32	2
163.221.144.36	12
163.221.144.48	40
163.221.144.58	2
163.221.144.59	2
163.221.144.79	10
163.221.144.87	22
163.221.145.0	6
163.221.145.102	26
163.221.145.105	52
163.221.145.124	4
163.221.145.136	50
163.221.145.140	8
163.221.145.167	8
163.221.145.170	8
163.221.145.172	2
163.221.145.179	14
163.221.145.182	4
163.221.145.219	4
163.221.145.223	14
163.221.145.236	2
163.221.145.237	150
163.221.145.25	102
163.221.145.3	12
163.221.145.43	92
163.221.145.64	8
163.221.145.87	6
163.221.145.92	4
163.221.146.115	310
163.221.146.129	26
163.221.146.133	18
163.221.146.135	36
163.221.146.149	4
163.221.146.161	4
163.221.146.177	4
163.221.146.240	4
163.221.146.30	4
163.221.146.37	4
163.221.146.55	6
163.221.147.141	8
163.221.147.146	14
163.221.147.166	8
163.221.147.173	2
163.221.147.180	196
163.221.147.183	26
163.221.147.184	4
163.221.147.194	20
163.221.147.198	48
163.221.147.204	12
163.221.147.205	18
163.221.147.221	6
163.221.147.237	6
163.221.147.238	86
163.221.147.250	412
163.221.147.254	4
163.221.147.31	12
163.221.147.48	4
163.221.147.82	16
163.221.155.185	12
163.221.155.22	6
163.221.155.34	2
163.221.159.103	2
163.221.159.13	28
163.221.159.134	214
163.221.168.145	10
163.221.171.24	4
163.221.171.51	8
163.221.171.54	6
163.221.171.56	38
163.221.171.59	3002
163.221.171.62	2
163.221.187.42	66
163.221.187.50	20
163.221.187.53	4
163.221.2.107	2
163.221.2.136	2
163.221.2.175	12
163.221.2.176	2
163.221.2.184	4
163.221.2.68	8
163.221.200.213	8
163.221.200.214	2
163.221.202.10	332
163.221.204.11	2
163.221.204.136	26
163.221.204.146	56
163.221.209.138	2
163.221.21.189	4
163.221.231.11	2
163.221.231.53	32
163.221.240.124	39
163.221.247.32	8
163.221.248.225	24
163.221.248.228	2
163.221.248.239	2
163.221.25.225	20
163.221.25.231	16
163.221.252.19	6
163.221.3.114	4
163.221.3.127	28
163.221.3.141	175
163.221.3.164	54
163.221.36.245	66
163.221.43.11	76
163.221.43.13	46
163.221.43.43	4
163.221.43.49	4
163.221.43.6	118
163.221.44.200	18
163.221.44.211	20
163.221.44.34	10
163.221.44.64	10
163.221.46.209	6
163.221.46.210	10
163.221.46.227	2
163.221.46.239	2
163.221.46.241	4
163.221.46.242	26
163.221.48.11	2
163.221.48.128	16
163.221.48.137	6
163.221.48.220	10
163.221.48.30	8
163.221.49.197	8
163.221.49.199	4
163.221.49.205	10
163.221.49.238	2
163.221.5.18	1936
163.221.51.45	2
163.221.52.127	6
163.221.52.149	2
163.221.52.153	2
163.221.52.174	32
163.221.52.176	24
163.221.52.177	24
163.221.6.123	18
163.221.6.127	26
163.221.6.129	14
163.221.6.153	6
163.221.6.175	4
163.221.6.185	214
163.221.6.212	22
163.221.6.214	6
163.221.6.249	6
163.221.6.37	8
163.221.6.65	2
163.221.6.7	676
163.221.6.93	14
163.221.67.114	8635
163.221.67.116	4
163.221.67.205	48
163.221.67.206	4
163.221.67.208	4
163.221.67.24	2
163.221.67.27	8
163.221.67.30	6
163.221.67.33	4
163.221.67.43	2
163.221.67.45	649
163.221.67.89	2
163.221.67.92	4
163.221.7.148	4
163.221.7.16	48
163.221.7.206	2
163.221.7.230	4
163.221.7.249	2
163.221.7.253	14
163.221.7.29	6
163.221.7.38	8
163.221.7.4	8
163.221.7.52	18
163.221.7.53	228
163.221.7.62	8
163.221.7.64	12
